# 'Tdn_K_76.8G'	'Rdn_Ohm_76.8G'
194.367	0.587419
194.264	0.58729
194.161	0.586824
194.064	0.58605
193.963	0.58716
193.859	0.586566
193.756	0.585508
193.651	0.585327
193.551	0.585326
193.447	0.58543
193.345	0.584061
193.243	0.585094
193.142	0.583776
193.04	0.584449
192.939	0.585327
192.835	0.585147
192.733	0.583236
192.631	0.584268
192.53	0.583908
192.427	0.582229
192.325	0.582538
192.225	0.581893
192.121	0.582616
192.021	0.581634
191.919	0.582616
191.817	0.581686
191.715	0.5798
191.613	0.581298
191.512	0.579801
191.411	0.581195
191.309	0.580343
191.207	0.579878
191.104	0.579775
191.002	0.578716
190.899	0.578044
190.797	0.579672
190.696	0.577889
190.594	0.578871
190.494	0.578277
190.39	0.577244
190.291	0.577346
190.186	0.577786
190.086	0.57758
189.982	0.577244
189.881	0.575178
189.778	0.575437
189.677	0.576004
189.573	0.575901
189.471	0.575333
189.369	0.575514
189.268	0.575461
189.164	0.575616
189.063	0.574946
188.962	0.574945
188.862	0.573474
188.76	0.573888
188.656	0.57355
188.554	0.572543
188.454	0.572854
188.352	0.573525
188.25	0.573267
188.148	0.573061
188.047	0.572776
187.946	0.572182
187.845	0.570969
187.743	0.571692
187.641	0.57115
187.539	0.570916
187.436	0.570504
187.335	0.571148
187.234	0.570374
187.131	0.570245
187.029	0.571433
186.928	0.569445
186.826	0.56991
186.725	0.56978
186.622	0.569883
186.519	0.568722
186.416	0.569936
186.316	0.569213
186.213	0.569522
186.109	0.56898
186.009	0.56725
185.905	0.567302
185.804	0.567198
185.7	0.567198
185.596	0.565958
185.495	0.567225
185.393	0.566449
185.289	0.565133
185.187	0.565778
185.083	0.565933
184.981	0.5665
184.876	0.565184
184.774	0.564952
184.671	0.563144
184.569	0.564435
184.465	0.563919
184.362	0.563945
184.261	0.564202
184.157	0.563299
184.055	0.56242
183.951	0.562911
183.849	0.562859
183.746	0.562575
183.643	0.562343
183.54	0.562447
183.437	0.563144
183.334	0.56224
183.233	0.562679
183.131	0.561232
183.029	0.562292
182.924	0.560484
182.821	0.561001
182.718	0.560122
182.619	0.560303
182.514	0.560123
182.413	0.558366
182.31	0.559219
182.207	0.560587
182.102	0.558418
182	0.558883
181.897	0.559115
181.792	0.558908
181.689	0.558366
181.587	0.55785
181.482	0.558109
181.379	0.557385
181.275	0.556326
181.171	0.556739
181.067	0.557307
180.965	0.555939
180.863	0.555758
180.762	0.554363
180.657	0.554544
180.554	0.554854
180.452	0.555371
180.349	0.555423
180.247	0.555706
180.143	0.556146
180.041	0.554648
179.936	0.554208
179.832	0.553537
179.727	0.554183
179.625	0.553381
179.523	0.554337
179.419	0.553616
179.315	0.552891
179.214	0.553537
179.11	0.553588
179.006	0.551497
178.905	0.552504
178.798	0.551058
178.697	0.551601
178.594	0.551135
178.489	0.55142
178.387	0.550748
178.283	0.550929
178.179	0.549689
178.077	0.549921
177.972	0.55049
177.871	0.550233
177.766	0.550594
177.662	0.549844
177.559	0.54987
177.456	0.550697
177.352	0.548941
177.248	0.548294
177.144	0.547882
177.042	0.548734
176.938	0.547159
176.834	0.546668
176.731	0.547287
176.63	0.546462
176.526	0.54721
176.424	0.546462
176.32	0.546953
176.218	0.547366
176.113	0.547133
176.011	0.545326
175.906	0.546849
175.803	0.545506
175.698	0.545041
175.597	0.544963
175.494	0.545507
175.389	0.543827
175.285	0.544732
175.181	0.546436
175.077	0.545661
174.975	0.544266
174.871	0.543078
174.767	0.544705
174.663	0.543699
174.562	0.543569
174.458	0.543983
174.355	0.544602
174.252	0.542278
174.148	0.542897
174.042	0.541968
173.938	0.5422
173.836	0.540884
173.731	0.540677
173.627	0.541038
173.524	0.54171
173.421	0.540961
173.32	0.540962
173.215	0.541296
173.114	0.540728
173.011	0.540521
172.909	0.540289
172.805	0.54078
172.702	0.539437
172.599	0.538766
172.497	0.540057
172.393	0.539773
172.288	0.53967
172.185	0.539566
172.082	0.538559
171.98	0.539179
171.875	0.537888
171.772	0.537423
171.67	0.536933
171.566	0.536597
171.462	0.536778
171.358	0.536726
171.257	0.535951
171.152	0.535873
171.046	0.537293
170.943	0.536416
170.841	0.535848
170.737	0.536416
170.632	0.536933
