# 'Tdn_K_123.5G'	'Rdn_Ohm_123.5G'	'Rdn/R5k_Ohm_123.5G'
219.465	0.426815	1.04243
219.363	0.42678	1.04239
219.257	0.426759	1.04236
219.152	0.42675	1.04235
219.046	0.426736	1.04227
218.94	0.42667	1.04225
218.835	0.426656	1.04222
218.73	0.426633	1.04218
218.625	0.426611	1.04215
218.523	0.426591	1.0421
218.416	0.426579	1.04208
218.313	0.42657	1.04203
218.205	0.426551	1.04194
218.099	0.426544	1.04196
217.989	0.426522	1.0419
217.887	0.426501	1.04185
217.785	0.426488	1.04179
217.68	0.426464	1.04176
217.575	0.426457	1.04173
217.47	0.426458	1.04167
217.369	0.426423	1.04164
217.26	0.426401	1.04162
217.156	0.426386	1.04156
217.049	0.426385	1.04157
216.944	0.426358	1.04151
216.837	0.42635	1.04144
216.734	0.426328	1.04143
216.632	0.426323	1.0414
216.523	0.426304	1.04132
216.415	0.426283	1.04129
216.31	0.426274	1.04129
216.205	0.42625	1.04122
216.101	0.42624	1.04121
215.996	0.426235	1.04113
215.889	0.426201	1.04108
215.787	0.426198	1.04106
215.674	0.426155	1.04102
215.571	0.426145	1.04086
215.466	0.426133	1.04083
215.361	0.426126	1.04077
215.257	0.426102	1.04072
215.155	0.426087	1.04067
215.049	0.426068	1.04064
214.945	0.42605	1.04062
214.843	0.426014	1.04057
214.734	0.42602	1.04055
214.631	0.426013	1.0405
214.524	0.425982	1.04045
214.418	0.425963	1.04042
214.312	0.425952	1.04036
214.212	0.425943	1.04034
214.105	0.425924	1.04034
213.998	0.425914	1.04026
213.894	0.425872	1.04021
213.79	0.425862	1.04017
213.684	0.425848	1.04017
213.579	0.425834	1.0401
213.474	0.425818	1.04008
213.369	0.425784	1.04003
213.268	0.425773	1.04002
213.167	0.425759	1.03997
213.061	0.425753	1.03992
212.957	0.42574	1.03989
212.851	0.425711	1.03984
212.746	0.425697	1.03981
212.645	0.425681	1.0398
212.54	0.425661	1.03972
212.431	0.425662	1.03971
212.327	0.425625	1.03961
212.222	0.425603	1.03958
212.119	0.425609	1.03955
212.01	0.425579	1.03953
211.905	0.425564	1.03948
211.799	0.425555	1.03944
211.695	0.425539	1.03939
211.588	0.425515	1.03935
211.482	0.425494	1.03926
211.376	0.425478	1.03928
211.274	0.42547	1.03926
211.167	0.425451	1.03918
211.064	0.425423	1.03914
210.958	0.425418	1.03911
210.852	0.425397	1.03909
210.75	0.425379	1.03904
210.653	0.425354	1.03902
210.545	0.425356	1.03892
210.439	0.425328	1.03889
210.333	0.425313	1.03886
210.229	0.425284	1.03882
210.122	0.42528	1.03878
210.017	0.425262	1.0387
209.912	0.425235	1.03867
209.808	0.42522	1.03864
209.702	0.425202	1.03863
209.595	0.425194	1.03859
209.488	0.42516	1.03852
209.382	0.42515	1.03849
209.28	0.425137	1.03845
209.177	0.425126	1.0384
209.068	0.425095	1.0384
208.959	0.425081	1.03831
