# Tdn_K_80G	Rdn_Ohm_80G
193.806	0.731526
193.706	0.73146
193.606	0.731174
193.504	0.730979
193.404	0.730951
193.303	0.730828
193.195	0.730748
193.092	0.730342
192.988	0.730436
192.886	0.730269
192.775	0.729913
192.681	0.729877
192.578	0.72996
192.476	0.729602
192.376	0.729441
192.27	0.729311
192.173	0.729201
192.07	0.728829
191.968	0.728922
191.862	0.728749
191.761	0.728584
191.658	0.728449
191.558	0.728377
191.456	0.72826
191.351	0.727979
191.253	0.728036
191.153	0.727657
191.051	0.727598
190.947	0.727533
190.846	0.727264
190.746	0.72706
190.639	0.727041
190.539	0.726888
190.436	0.72655
190.336	0.726594
190.233	0.72648
190.13	0.726336
190.029	0.726301
189.927	0.725976
189.821	0.725706
189.721	0.725669
189.623	0.725487
189.521	0.725317
189.418	0.725183
189.318	0.725102
189.216	0.724844
189.112	0.724712
189.013	0.724691
188.91	0.724426
188.806	0.724426
188.71	0.72428
188.606	0.724078
188.505	0.72376
188.401	0.723886
188.3	0.723755
188.196	0.723445
188.099	0.723212
187.994	0.723298
187.894	0.722984
187.791	0.722872
187.69	0.722591
187.585	0.722511
187.487	0.722375
187.383	0.722121
187.285	0.722034
187.182	0.721936
187.082	0.721772
186.981	0.721733
186.881	0.721543
186.777	0.721385
186.683	0.721205
186.58	0.721065
186.476	0.720891
186.374	0.720684
186.272	0.720638
186.168	0.720592
186.065	0.720117
185.963	0.719961
185.86	0.719838
185.756	0.719752
185.656	0.719722
185.55	0.719571
185.447	0.719339
185.345	0.719303
185.241	0.719092
185.142	0.71887
185.038	0.718825
184.962	0.718529
184.863	0.718603
184.764	0.718398
184.66	0.71817
184.56	0.717891
184.454	0.71794
184.351	0.71766
184.25	0.717488
184.152	0.717376
184.048	0.717368
183.944	0.7171
183.842	0.717077
183.738	0.716963
183.637	0.716633
183.535	0.716593
183.43	0.716373
183.327	0.716292
183.226	0.716111
183.121	0.715986
183.023	0.715796
182.92	0.71575
182.818	0.715505
182.721	0.715355
182.617	0.71518
182.511	0.715074
182.407	0.714837
182.313	0.714712
182.208	0.714556
182.108	0.714486
182.002	0.714411
181.904	0.714021
181.799	0.714086
181.695	0.713979
181.597	0.71374
181.496	0.713516
181.393	0.713341
181.288	0.713236
181.183	0.713085
181.08	0.71302
180.976	0.712898
180.878	0.712763
180.776	0.712469
180.679	0.712384
180.573	0.712303
