# 'raman shift'	Int_0GPa_1
623.115	1782.55
623.763	1790.91
624.411	1772
625.059	1755.45
625.707	1763.82
626.355	1758.36
627.002	1775.82
627.65	1749.82
628.297	1764.36
628.945	1787.82
629.592	1767.09
630.239	1761.27
630.887	1763.09
631.534	1784.36
632.181	1764.91
632.828	1771.64
633.475	1770.73
634.122	1794.55
634.768	1761.45
635.415	1742.73
636.062	1769.45
636.708	1752
637.355	1756.91
638.001	1762.55
638.647	1760.55
639.294	1758
639.94	1766.73
640.586	1770.55
641.232	1759.09
641.878	1767.82
642.524	1762.73
643.17	1787.64
643.816	1766.55
644.461	1759.09
645.107	1762.36
645.752	1747.82
646.398	1751.64
647.043	1763.45
647.689	1747.27
648.334	1757.27
648.979	1739.09
649.624	1756.55
650.269	1760.91
650.914	1748.18
651.559	1759.27
652.204	1783.27
652.849	1756.36
653.493	1770.18
654.138	1764.55
654.783	1767.27
655.427	1768.36
656.071	1725.45
656.716	1736.36
657.36	1761.64
658.004	1759.82
658.648	1759.64
659.292	1754.73
659.936	1733.27
660.58	1737.27
661.224	1761.82
661.868	1762.73
662.512	1727.09
663.155	1758.91
663.799	1750.91
664.442	1775.45
665.086	1726.55
665.729	1750.18
666.372	1760.55
667.015	1745.64
667.658	1754.73
668.301	1758.73
668.944	1752
669.587	1757.64
670.23	1733.45
670.873	1740.91
671.516	1762.55
672.158	1758.91
672.801	1756.55
673.443	1738.73
674.086	1750.36
674.728	1736.18
675.37	1730.91
676.012	1725.09
676.654	1746.73
677.296	1745.09
677.938	1751.09
678.58	1732.18
679.222	1731.82
679.864	1748
680.506	1721.45
681.147	1734
681.789	1756.55
682.43	1733.82
683.072	1728.18
683.713	1723.45
684.354	1728
684.995	1735.09
685.636	1727.64
686.277	1712
686.918	1713.27
687.559	1738.55
688.2	1744.36
688.841	1724.73
689.482	1714.91
690.122	1696.91
690.763	1732.91
691.403	1726.91
692.044	1740.73
692.684	1721.27
693.324	1720.91
693.964	1725.45
694.604	1719.64
695.244	1736.36
695.884	1731.45
696.524	1730.18
697.164	1735.45
697.804	1724.36
698.444	1725.27
699.083	1719.09
699.723	1706.91
700.362	1737.27
701.002	1736.73
701.641	1715.45
702.28	1730.73
702.919	1725.64
703.558	1715.27
704.198	1732
704.836	1721.82
705.475	1739.64
706.114	1711.82
706.753	1714.91
707.392	1716.18
708.03	1716.18
708.669	1704.18
709.307	1700.36
709.946	1712.18
710.584	1714.36
711.222	1723.27
711.86	1712.55
712.499	1717.27
713.137	1723.45
713.775	1711.82
714.412	1709.45
715.05	1704.18
715.688	1730.36
716.326	1709.09
716.963	1707.27
717.601	1706
718.238	1707.82
718.876	1687.82
719.513	1706
720.15	1711.82
720.788	1704.73
721.425	1701.45
722.062	1694.55
722.699	1704.55
723.336	1695.27
723.972	1705.27
724.609	1698.36
725.246	1714.73
725.883	1710.18
726.519	1714.18
727.156	1698.18
727.792	1694
728.428	1698.55
729.065	1715.82
729.701	1703.64
730.337	1706.55
730.973	1705.45
731.609	1696
732.245	1714.36
732.881	1702
733.517	1692
734.152	1703.27
734.788	1712.18
735.423	1707.82
736.059	1692.55
736.694	1716.73
737.33	1707.82
737.965	1695.45
738.6	1720
739.235	1702.73
739.87	1701.64
740.505	1687.45
741.14	1696.73
741.775	1719.09
742.41	1698.91
743.045	1717.27
743.679	1703.27
744.314	1697.64
744.948	1697.27
745.583	1725.27
746.217	1688
746.852	1698.73
747.486	1709.45
748.12	1703.82
748.754	1704.91
749.388	1706.36
750.022	1699.27
750.656	1718
751.29	1724.73
751.923	1703.64
752.557	1696
753.191	1711.64
753.824	1704.36
754.457	1705.09
755.091	1700.36
755.724	1724.18
756.357	1703.09
756.991	1700.73
757.624	1704.91
758.257	1702
758.89	1700.18
759.523	1683.27
760.155	1715.09
760.788	1698.18
761.421	1705.64
762.053	1686.91
762.686	1715.45
763.318	1710
763.951	1713.82
764.583	1720.36
765.215	1695.64
765.847	1673.64
766.48	1708.91
767.112	1710
767.744	1701.09
768.375	1719.27
769.007	1709.45
769.639	1718.18
770.271	1689.82
770.902	1704
771.534	1711.27
772.165	1695.45
772.797	1696.73
773.428	1708.91
774.059	1687.45
774.691	1709.64
775.322	1687.27
775.953	1695.27
776.584	1712.73
777.215	1728.36
777.845	1696.36
778.476	1714.55
779.107	1694.36
779.738	1698.18
780.368	1710.18
780.999	1685.09
781.629	1713.27
782.259	1710.18
782.89	1686
783.52	1724
784.15	1700
784.78	1702.18
785.41	1677.82
786.04	1703.45
786.67	1690.18
787.3	1699.45
787.929	1735.64
788.559	1686.73
789.189	1696.18
789.818	1707.09
790.448	1697.27
791.077	1708.73
791.706	1690.55
792.335	1695.27
792.965	1715.45
793.594	1697.64
794.223	1692.36
794.852	1690.55
795.481	1720.73
796.109	1697.45
796.738	1687.64
797.367	1701.64
797.995	1701.27
798.624	1713.64
799.252	1689.09
799.881	1679.82
800.509	1690
801.137	1705.82
801.765	1693.64
802.394	1713.27
803.022	1684.55
803.65	1707.82
804.277	1708.91
804.905	1723.27
805.533	1697.82
806.161	1686.91
806.788	1698.91
807.416	1690.55
808.043	1686.91
808.671	1700.55
809.298	1696
809.925	1712.18
810.553	1714.18
811.18	1682.18
811.807	1704.91
812.434	1702.55
813.061	1705.09
813.688	1702.55
814.314	1700.55
814.941	1703.27
815.568	1687.45
816.194	1690.73
816.821	1699.82
817.447	1700.91
818.074	1718.36
818.7	1708.36
819.326	1704.91
819.952	1704.73
820.578	1710.36
821.204	1695.27
821.83	1721.82
822.456	1688.91
823.082	1711.09
823.708	1682.73
824.333	1705.09
824.959	1703.45
825.585	1703.82
826.21	1691.09
826.835	1705.27
827.461	1706.36
828.086	1701.45
828.711	1706.55
829.336	1695.64
829.961	1695.45
830.586	1709.82
831.211	1702.91
831.836	1706.73
832.461	1685.82
833.085	1695.45
833.71	1697.82
834.335	1689.27
834.959	1710.36
835.584	1698.36
836.208	1708.36
836.832	1694.36
837.456	1720.18
838.08	1716.73
838.705	1704.36
839.329	1697.45
839.952	1702.91
840.576	1705.09
841.2	1713.45
841.824	1699.27
842.447	1688.18
843.071	1721.27
843.695	1693.45
844.318	1696.73
844.941	1705.45
845.565	1714.91
846.188	1708.36
846.811	1746.36
847.434	1712.55
848.057	1711.82
848.68	1706.36
849.303	1698
849.926	1705.09
850.549	1695.27
851.171	1710.91
851.794	1721.45
852.416	1702.73
853.039	1713.27
853.661	1713.64
854.284	1702.36
854.906	1695.64
855.528	1723.45
856.15	1695.27
856.772	1707.09
857.394	1729.45
858.016	1683.64
858.638	1695.64
859.26	1706.73
859.882	1700.55
860.503	1711.82
861.125	1694.55
