# 'raman_27.6G_p1'	'Int_27.6G_p1'
693.324	3256.18
693.964	3263.45
694.604	3272.55
695.244	3309.45
695.884	3231.64
696.524	3236.36
697.164	3304
697.804	3298.55
698.444	3286
699.083	3268.18
699.723	3289.27
700.362	3252.55
701.002	3255.82
701.641	3240
702.28	3281.82
702.919	3254
703.558	3256.73
704.198	3269.82
704.836	3246.18
705.475	3291.82
706.114	3299.27
706.753	3238.91
707.392	3231.82
708.03	3240.18
708.669	3255.27
709.307	3240.36
709.946	3245.45
710.584	3219.64
711.222	3254.91
711.86	3257.27
712.499	3235.82
713.137	3270.91
713.775	3292.18
714.412	3266.91
715.05	3240.18
715.688	3239.45
716.326	3239.82
716.963	3290.91
717.601	3202.91
718.238	3210.18
718.876	3275.64
719.513	3211.27
720.15	3249.27
720.788	3282.18
721.425	3284.36
722.062	3262
722.699	3259.09
723.336	3266.91
723.972	3229.64
724.609	3270.36
725.246	3176
725.883	3256.73
726.519	3270.55
727.156	3272.73
727.792	3169.09
728.428	3252.91
729.065	3267.64
729.701	3263.27
730.337	3230.36
730.973	3255.64
731.609	3222.18
732.245	3264
732.881	3210.36
733.517	3303.09
734.152	3180.55
734.788	3255.45
735.423	3227.09
736.059	3202.73
736.694	3238.73
737.33	3255.64
737.965	3214.36
738.6	3205.45
739.235	3269.64
739.87	3245.45
740.505	3276.18
741.14	3247.27
741.775	3206
742.41	3227.45
743.045	3259.64
743.679	3256.73
744.314	3263.09
744.948	3236.73
745.583	3253.45
746.217	3249.45
746.852	3254.36
747.486	3238
748.12	3257.64
748.754	3254.91
749.388	3263.09
750.022	3260.55
750.656	3274.55
751.29	3219.27
751.923	3220.91
752.557	3256.55
753.191	3224.36
753.824	3264
754.457	3218.91
755.091	3256.18
755.724	3244
756.357	3303.45
756.991	3235.27
757.624	3235.09
758.257	3258.91
758.89	3264
759.523	3213.27
760.155	3233.09
760.788	3266.36
761.421	3264
762.053	3282.73
762.686	3233.45
763.318	3230.73
763.951	3220.18
764.583	3219.64
765.215	3245.27
765.847	3262
766.48	3250.18
767.112	3236
767.744	3253.45
768.375	3239.27
769.007	3222.73
769.639	3231.27
770.271	3282
770.902	3256.36
771.534	3231.09
772.165	3254.73
772.797	3224
773.428	3219.82
774.059	3220.18
774.691	3246
775.322	3185.45
775.953	3207.64
776.584	3241.82
777.215	3277.27
777.845	3250.73
778.476	3263.27
779.107	3224.73
779.738	3252.55
780.368	3231.27
780.999	3223.09
781.629	3223.27
782.259	3223.09
782.89	3262.36
783.52	3234.36
784.15	3215.45
784.78	3242.55
785.41	3233.82
786.04	3231.45
786.67	3235.27
787.3	3250.55
787.929	3230.18
788.559	3236.91
789.189	3183.09
789.818	3193.27
790.448	3211.64
791.077	3219.45
791.706	3226
792.335	3231.09
792.965	3188.36
793.594	3235.64
794.223	3247.09
794.852	3244.91
795.481	3227.64
796.109	3237.45
796.738	3210
797.367	3197.45
797.995	3218.91
798.624	3216.91
799.252	3267.82
799.881	3199.64
800.509	3197.64
801.137	3231.45
801.765	3216
802.394	3226.91
803.022	3220.36
803.65	3223.27
804.277	3191.64
804.905	3186.18
805.533	3214.55
806.161	3239.64
806.788	3221.64
807.416	3242.55
808.043	3198
808.671	3222.18
809.298	3250.36
809.925	3222.91
810.553	3222.18
811.18	3235.45
811.807	3221.64
812.434	3186
813.061	3212.18
813.688	3255.82
814.314	3239.82
814.941	3208
815.568	3197.09
816.194	3206.55
816.821	3226.73
817.447	3191.27
818.074	3224.55
818.7	3254.36
819.326	3180.55
819.952	3252.36
820.578	3216
821.204	3195.27
821.83	3261.45
822.456	3239.64
823.082	3240.73
823.708	3194.18
824.333	3201.09
824.959	3268.55
825.585	3219.82
826.21	3222.55
826.835	3193.09
827.461	3246.91
828.086	3199.45
828.711	3242.91
829.336	3229.09
829.961	3228.55
830.586	3222
831.211	3232.91
831.836	3188.73
832.461	3226.55
833.085	3216.55
833.71	3227.45
834.335	3283.82
834.959	3255.09
835.584	3246.91
836.208	3232.91
836.832	3244.18
837.456	3239.09
838.08	3204.55
838.705	3232.18
839.329	3194.91
839.952	3197.82
840.576	3197.82
841.2	3251.27
841.824	3188
842.447	3213.82
843.071	3258.73
843.695	3249.64
844.318	3187.27
844.941	3236
845.565	3232.36
846.188	3220
846.811	3260.91
847.434	3178.18
848.057	3204.36
848.68	3201.64
849.303	3238.18
849.926	3266.73
850.549	3234.36
851.171	3250.73
851.794	3224
852.416	3264.91
853.039	3240.18
853.661	3196.91
854.284	3280
854.906	3238.73
855.528	3201.09
856.15	3211.82
856.772	3257.45
857.394	3222.18
858.016	3231.45
858.638	3238.91
859.26	3248.18
859.882	3201.27
860.503	3211.64
861.125	3204.18
861.746	3229.09
862.368	3257.82
862.989	3224.18
863.61	3192.55
864.232	3168
864.853	3203.09
865.474	3213.64
866.095	3219.82
866.716	3167.09
867.337	3228.55
867.958	3242
868.578	3202.73
869.199	3184
869.82	3235.64
870.44	3217.27
871.061	3219.09
871.681	3277.82
872.301	3243.82
872.922	3205.27
873.542	3211.09
874.162	3209.82
874.782	3185.09
875.402	3224.73
876.022	3167.09
876.642	3188.91
877.261	3219.45
877.881	3229.82
878.501	3197.09
879.12	3224
879.74	3224.55
880.359	3208
880.979	3209.27
881.598	3236.18
882.217	3175.64
882.836	3247.09
883.455	3210
884.075	3188.18
884.693	3180.73
885.312	3192.73
885.931	3238.73
886.55	3239.45
887.169	3212.18
887.787	3233.27
888.406	3250.73
889.024	3233.64
889.643	3194.18
890.261	3208.55
890.879	3263.45
891.497	3245.45
892.116	3196.73
892.734	3203.27
893.352	3215.09
893.969	3248.73
894.587	3223.82
895.205	3255.09
895.823	3191.27
896.44	3197.45
897.058	3214.18
897.676	3172.91
898.293	3244.36
898.91	3211.82
899.528	3240
900.145	3191.82
900.762	3209.09
901.379	3197.82
901.996	3221.27
902.613	3204.55
903.23	3201.45
903.847	3181.27
904.464	3188.91
905.08	3164.91
905.697	3165.64
906.313	3239.09
906.93	3258.91
907.546	3184.91
908.163	3163.27
908.779	3230.36
909.395	3206.73
910.011	3206.91
910.627	3208.18
911.243	3201.82
911.859	3207.82
912.475	3180.18
913.091	3192.36
913.707	3200.36
914.322	3222.73
914.938	3234.91
915.553	3232
916.169	3168.55
916.784	3180.73
917.4	3191.64
918.015	3225.45
918.63	3168.55
919.245	3214.36
919.86	3181.09
920.475	3226.55
