# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
7.970937132E+00  2.405074310E+02
7.985677924E+00  2.408933105E+02
8.000418716E+00  2.410771942E+02
8.015159508E+00  2.413131561E+02
8.029900300E+00  2.409704895E+02
8.044641092E+00  2.407761993E+02
8.059381884E+00  2.409263000E+02
8.074122676E+00  2.417992554E+02
8.088863469E+00  2.430351105E+02
8.103604261E+00  2.434685822E+02
8.118345053E+00  2.434693604E+02
8.133085845E+00  2.439869690E+02
8.147826637E+00  2.444718933E+02
8.162567429E+00  2.450626984E+02
8.177308221E+00  2.454452515E+02
8.192049013E+00  2.455384521E+02
8.206789805E+00  2.458628845E+02
8.221530598E+00  2.460193481E+02
8.236271390E+00  2.460572662E+02
8.251012182E+00  2.460631104E+02
8.265752974E+00  2.463458862E+02
8.280493766E+00  2.459813385E+02
8.295234558E+00  2.465307312E+02
8.309975350E+00  2.465332336E+02
8.324716142E+00  2.469549255E+02
8.339456934E+00  2.476063538E+02
8.354197727E+00  2.487379608E+02
8.368938519E+00  2.485368347E+02
8.383679311E+00  2.489726715E+02
8.398420103E+00  2.512141876E+02
8.413160895E+00  2.541849670E+02
8.427901687E+00  2.574493408E+02
8.442642479E+00  2.600390930E+02
8.457383271E+00  2.630014038E+02
8.472124063E+00  2.661643677E+02
8.486864856E+00  2.700478821E+02
8.501605648E+00  2.752592163E+02
8.516346440E+00  2.797746887E+02
8.531087232E+00  2.838291931E+02
8.545828024E+00  2.900315552E+02
8.560568816E+00  2.970741272E+02
8.575309608E+00  3.050575562E+02
8.590050400E+00  3.138124695E+02
8.604791192E+00  3.237341614E+02
8.619531985E+00  3.353515320E+02
8.634272777E+00  3.466551208E+02
8.649013569E+00  3.568168945E+02
8.663754361E+00  3.635072327E+02
8.678495153E+00  3.644215393E+02
